

1000 atoms

2 atom types

0.0   21.54   xlo xhi
0.0   21.54   ylo yhi
0.0   21.54   zlo zhi

Masses

1  1.0
2  1.0

Atoms

	66	1   10.772173  12.926608  0.000000
	67	1   12.926608  12.926608  0.000000
	68	1   15.081043  12.926608  0.000000
	69	1   17.235478  12.926608  0.000000
	70	1   19.389912  12.926608  0.000000
	71	1   0.000000  15.081043  0.000000
	72	1   2.154435  15.081043  0.000000
	73	1   4.308869  15.081043  0.000000
	74	1   6.463304  15.081043  0.000000
	75	1   8.617739  15.081043  0.000000
	76	1   10.772173  15.081043  0.000000
	77	1   12.926608  15.081043  0.000000
	78	1   15.081043  15.081043  0.000000
	79	1   17.235478  15.081043  0.000000
	80	1   19.389912  15.081043  0.000000
	81	1   0.000000  17.235478  0.000000
	82	1   2.154435  17.235478  0.000000
	83	1   4.308869  17.235478  0.000000
	84	1   6.463304  17.235478  0.000000
	85	1   8.617739  17.235478  0.000000
	86	1   10.772173  17.235478  0.000000
	87	1   12.926608  17.235478  0.000000
	88	1   15.081043  17.235478  0.000000
	89	1   17.235478  17.235478  0.000000
	90	1   19.389912  17.235478  0.000000
	91	1   0.000000  19.389912  0.000000
	92	1   2.154435  19.389912  0.000000
	93	1   4.308869  19.389912  0.000000
	94	1   6.463304  19.389912  0.000000
	95	1   8.617739  19.389912  0.000000
	96	1   10.772173  19.389912  0.000000
	97	1   12.926608  19.389912  0.000000
	98	1   15.081043  19.389912  0.000000
	99	1   17.235478  19.389912  0.000000
	100	1   19.389912  19.389912  0.000000
	101	1   0.000000  0.000000  2.154435
	102	1   2.154435  0.000000  2.154435
	103	1   4.308869  0.000000  2.154435
	104	1   6.463304  0.000000  2.154435
	105	1   8.617739  0.000000  2.154435
	106	1   10.772173  0.000000  2.154435
	107	1   12.926608  0.000000  2.154435
	108	1   15.081043  0.000000  2.154435
	109	1   17.235478  0.000000  2.154435
	110	1   19.389912  0.000000  2.154435
	111	1   0.000000  2.154435  2.154435
	112	1   2.154435  2.154435  2.154435
	113	1   4.308869  2.154435  2.154435
	114	1   6.463304  2.154435  2.154435
	115	1   8.617739  2.154435  2.154435
	116	1   10.772173  2.154435  2.154435
	117	1   12.926608  2.154435  2.154435
	118	1   15.081043  2.154435  2.154435
	119	1   17.235478  2.154435  2.154435
	120	1   19.389912  2.154435  2.154435
	121	1   0.000000  4.308869  2.154435
	122	1   2.154435  4.308869  2.154435
	123	1   4.308869  4.308869  2.154435
	124	1   6.463304  4.308869  2.154435
	125	1   8.617739  4.308869  2.154435
	126	1   10.772173  4.308869  2.154435
	127	1   12.926608  4.308869  2.154435
	128	1   15.081043  4.308869  2.154435
	129	1   17.235478  4.308869  2.154435
	130	1   19.389912  4.308869  2.154435
	131	1   0.000000  6.463304  2.154435
	132	1   2.154435  6.463304  2.154435
	133	1   4.308869  6.463304  2.154435
	134	1   6.463304  6.463304  2.154435
	135	1   8.617739  6.463304  2.154435
	136	1   10.772173  6.463304  2.154435
